table_name,table_collation,expected_collation,mismatched_text_columns
async_exports,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci,8
auth_login_attempts,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci,5
customer_requests,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci,9
document_product_links,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci,0
integration_settings,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci,9
opportunity_stages,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci,3
request_raci_assignments,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci,2
support_contact_positions,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci,3
support_request_statuses,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci,3
support_request_tasks,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci,3
workflow_form_field_configs,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci,4
workflow_status_catalogs,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci,6
worklog_activity_types,utf8mb4_0900_ai_ci,utf8mb4_unicode_ci,4
